"deviceid","imei","devicetime","servertime","retardo","lat","lon","satelites","ignicion","bateria","alimentacion","operador","cellId","rssi_celular"
1077,351580051706832,1634848859,1634848864,5,-32.8949700,-71.2383600,17,0,9.964,28.130,73002,2441897,5
1077,351580051706832,1634848862,1634848871,9,-32.8947933,-71.2382783,17,0,9.966,28.114,73002,2441897,5
1077,351580051706832,1634848864,1634848871,7,-32.8946466,-71.2382116,17,0,9.959,28.122,73002,2441897,5
1077,351580051706832,1634848869,1634848876,7,-32.8942350,-71.2380366,17,0,9.962,28.147,73002,2441897,5
1077,351580051706832,1634848887,1634848895,8,-32.8924499,-71.2373950,17,0,9.968,28.141,73002,2441897,5
1077,351580051706832,1634848893,1634848900,7,-32.8918883,-71.2374133,17,0,9.965,28.143,73002,2441897,5
1077,351580051706832,1634848902,1634848912,10,-32.8910516,-71.2377916,17,0,9.965,28.133,73002,2441897,5
1077,351580051706832,1634848904,1634848912,8,-32.8909116,-71.2378583,17,0,9.967,28.139,73002,2441897,5
1077,351580051706832,1634848906,1634848912,6,-32.8908033,-71.2379116,17,0,9.964,27.851,73002,2441897,5
1077,351580051706832,1634848907,1634848912,5,-32.8907683,-71.2379300,17,0,9.964,28.036,73002,2441897,5
1077,351580051706832,1634848908,1634848912,4,-32.8907500,-71.2379416,17,0,9.970,27.996,73002,2441897,5
1077,351580051706832,1634848909,1634848917,8,-32.8907416,-71.2379450,17,0,9.965,27.979,73002,2441897,5
1077,351580051706832,1634848913,1634848917,4,-32.8907049,-71.2379650,17,0,9.964,28.119,73002,2441897,5
1077,351580051706832,1634848916,1634848922,6,-32.8906033,-71.2380100,17,0,9.971,28.111,73002,2441897,5
1077,351580051706832,1634848920,1634848928,8,-32.8904033,-71.2380900,17,0,9.965,28.165,73002,2441897,5
1077,351580051706832,1634848922,1634848928,6,-32.8902750,-71.2381466,17,0,9.961,28.163,73002,2441897,5
1077,351580051706832,1634848929,1634848934,5,-32.8897866,-71.2385016,17,0,9.959,28.122,73002,2441897,5
1077,351580051706832,1634848935,1634848940,5,-32.8896250,-71.2390050,17,0,9.960,28.121,73002,2441897,5
1077,351580051706832,1634848936,1634848940,4,-32.8896183,-71.2390600,17,0,9.966,27.971,73002,2441897,5
1077,351580051706832,1634848943,1634848952,9,-32.8895866,-71.2393333,17,0,9.963,28.139,73002,2441897,5
1077,351580051706832,1634848947,1634848952,5,-32.8895716,-71.2394300,17,0,9.957,28.133,73002,2441897,5
1077,351580051706832,1634848950,1634848957,7,-32.8895766,-71.2395000,17,0,9.966,28.132,73002,2441897,5
1077,351580051706832,1634848953,1634848957,4,-32.8896100,-71.2395950,17,0,9.966,28.144,73002,2441897,5
1077,351580051706832,1634848955,1634848961,6,-32.8896650,-71.2396366,17,0,9.966,28.149,73002,2441897,5
1077,351580051706832,1634848965,1634848973,8,-32.8900083,-71.2396766,17,0,9.968,28.101,73002,2441897,5
1077,351580051706832,1634848968,1634848973,5,-32.8901683,-71.2397066,17,0,9.966,28.151,73002,2441897,5
1077,351580051706832,1634848971,1634848978,7,-32.8903566,-71.2397550,16,0,9.965,28.177,73002,2441897,5
1077,351580051706832,1634848973,1634848978,5,-32.8904766,-71.2397916,16,0,9.969,28.116,73002,2441897,5
1077,351580051706832,1634848980,1634848992,12,-32.8908483,-71.2399616,17,0,9.967,28.169,73002,2441897,5
1077,351580051706832,1634848984,1634848992,8,-32.8910866,-71.2401033,17,0,9.965,28.168,73002,2441897,5
1077,351580051706832,1634848987,1634848992,5,-32.8912316,-71.2402000,17,0,9.958,28.139,73002,2441897,5
1077,351580051706832,1634848989,1634848998,9,-32.8913583,-71.2402983,17,0,9.961,28.147,73002,2441897,5
1077,351580051706832,1634848993,1634848998,5,-32.8916533,-71.2405450,17,0,9.969,28.156,73002,2441897,5
1077,351580051706832,1634848995,1634849002,7,-32.8918266,-71.2406883,17,0,9.960,28.149,73002,2441897,5
1077,351580051706832,1634849000,1634849008,8,-32.8922833,-71.2410666,17,0,9.968,28.183,73002,2441897,5
1077,351580051706832,1634849001,1634849008,7,-32.8923516,-71.2411233,17,0,9.963,28.085,73002,2441897,5
1077,351580051706832,1634849002,1634849008,6,-32.8924049,-71.2411683,17,0,9.955,27.883,73002,2441897,5
1077,351580051706832,1634849005,1634849014,9,-32.8925183,-71.2412683,17,0,9.962,28.143,73002,2441897,5
1077,351580051706832,1634849007,1634849014,7,-32.8925983,-71.2413366,17,0,9.959,28.128,73002,2441897,5
1077,351580051706832,1634849010,1634849019,9,-32.8927450,-71.2414633,17,0,9.962,28.084,73002,2441897,5
1077,351580051706832,1634849012,1634849019,7,-32.8928766,-71.2415733,17,0,9.965,28.099,73002,2441897,5
1077,351580051706832,1634849033,1634849043,10,-32.8945000,-71.2429183,17,0,9.963,28.143,73002,2441897,5
1077,351580051706832,1634849038,1634849043,5,-32.8947933,-71.2431633,17,0,9.970,27.859,73002,2441897,5
1077,351580051706832,1634849043,1634849047,4,-32.8950616,-71.2434216,17,0,9.959,28.149,73002,2441897,4
1077,351580051706832,1634849047,1634849053,6,-32.8951550,-71.2436533,17,0,9.961,28.052,73002,2441897,4
1077,351580051706832,1634849054,1634849059,5,-32.8952583,-71.2439816,17,0,9.966,28.165,73002,2441897,4
1077,351580051706832,1634849056,1634849066,10,-32.8953566,-71.2440283,17,0,9.967,28.152,73002,2441897,4
1077,351580051706832,1634849059,1634849066,7,-32.8955450,-71.2440483,17,0,9.962,28.150,73002,2441897,4
1077,351580051706832,1634849064,1634849069,5,-32.8959366,-71.2441366,17,0,9.960,28.139,73002,2441898,4
1077,351580051706832,1634849067,1634849073,6,-32.8962000,-71.2442866,17,0,9.957,28.147,73002,2441898,4
1077,351580051706832,1634849069,1634849073,4,-32.8963783,-71.2444450,17,0,9.962,28.171,73002,2441898,4
1077,351580051706832,1634849076,1634849093,17,-32.8968433,-71.2453100,17,0,9.966,28.169,73002,2441898,4
1077,351580051706832,1634849079,1634849093,14,-32.8969000,-71.2457166,17,0,9.959,28.175,73002,2485487,4
1077,351580051706832,1634849080,1634849093,13,-32.8969016,-71.2458283,17,0,9.964,28.140,73002,2485487,4
1077,351580051706832,1634849081,1634849093,12,-32.8969000,-71.2459283,17,0,9.964,28.136,73002,2485487,4
1077,351580051706832,1634849082,1634849097,15,-32.8968950,-71.2460033,17,0,9.960,28.044,73002,2485487,4
1077,351580051706832,1634849083,1634849097,14,-32.8968883,-71.2460600,17,0,9.968,27.979,73002,2485487,4
1077,351580051706832,1634849085,1634849097,12,-32.8968750,-71.2461299,17,0,9.960,28.031,73002,2485487,4
1077,351580051706832,1634849087,1634849097,10,-32.8968666,-71.2461583,17,0,9.960,28.062,73002,2485487,4
1077,351580051706832,1634849095,1634849101,6,-32.8968599,-71.2462050,17,0,9.959,28.140,73002,2485487,4
1077,351580051706832,1634849098,1634849101,3,-32.8968433,-71.2462950,17,0,9.961,28.153,73002,2485487,4
1077,351580051706832,1634849099,1634849106,7,-32.8968300,-71.2463450,17,0,9.960,28.147,73002,2485487,4
1077,351580051706832,1634849103,1634849113,10,-32.8967583,-71.2466066,17,0,9.966,28.144,73002,2485487,5
1077,351580051706832,1634849104,1634849113,9,-32.8967333,-71.2466916,17,0,9.966,28.033,73002,2485484,5
